work_year,experience_level,job_title,salary,salary_currency,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,Principal Data Scientist,80000,EUR,FT,85847,ES,100,ES,L
2023,MI,ML Engineer,30000,USD,CT,30000,US,100,US,S
2023,MI,ML Engineer,25500,USD,CT,25500,US,100,US,S
2023,SE,Data Scientist,175000,USD,FT,175000,CA,100,CA,M
2023,SE,Data Scientist,120000,USD,FT,120000,CA,100,CA,M
2023,SE,Applied Scientist,222200,USD,FT,222200,US,0,US,L
2023,SE,Applied Scientist,136000,USD,FT,136000,US,0,US,L
2023,SE,Data Scientist,219000,USD,FT,219000,CA,0,CA,M
2023,SE,Data Scientist,141000,USD,FT,141000,CA,0,CA,M
2023,SE,Data Scientist,147100,USD,FT,147100,US,0,US,M
2023,SE,Data Scientist,90700,USD,FT,90700,US,0,US,M
2023,SE,Data Analyst,130000,USD,FT,130000,US,100,US,M
2023,SE,Data Analyst,100000,USD,FT,100000,US,100,US,M
2023,EN,Applied Scientist,213660,USD,FT,213660,US,0,US,L
2023,EN,Applied Scientist,130760,USD,FT,130760,US,0,US,L
2023,SE,Data Modeler,147100,USD,FT,147100,US,0,US,M
2023,SE,Data Modeler,90700,USD,FT,90700,US,0,US,M
2023,SE,Data Scientist,170000,USD,FT,170000,US,0,US,M
2023,SE,Data Scientist,150000,USD,FT,150000,US,0,US,M
2023,MI,Data Analyst,150000,USD,FT,150000,US,100,US,M
2023,MI,Data Analyst,110000,USD,FT,110000,US,100,US,M
2023,SE,Research Engineer,275000,USD,FT,275000,DE,0,DE,M
2023,SE,Research Engineer,174000,USD,FT,174000,DE,0,DE,M
2023,SE,Analytics Engineer,230000,USD,FT,230000,GB,100,GB,M
2023,SE,Analytics Engineer,143200,USD,FT,143200,GB,100,GB,M
2023,SE,Business Intelligence Engineer,225000,USD,FT,225000,US,0,US,M
2023,SE,Business Intelligence Engineer,156400,USD,FT,156400,US,0,US,M
2023,SE,Machine Learning Engineer,200000,USD,FT,200000,US,0,US,M
2023,SE,Machine Learning Engineer,130000,USD,FT,130000,US,0,US,M
2023,SE,Data Strategist,90000,USD,FT,90000,CA,0,CA,M
2023,SE,Data Strategist,72000,USD,FT,72000,CA,0,CA,M
2023,SE,Data Engineer,253200,USD,FT,253200,US,0,US,M
2023,SE,Data Engineer,90700,USD,FT,90700,US,0,US,M
2023,SE,Computer Vision Engineer,342810,USD,FT,342810,US,0,US,M
2023,SE,Computer Vision Engineer,184590,USD,FT,184590,US,0,US,M
2023,MI,Data Engineer,162500,USD,FT,162500,US,0,US,M
2023,MI,Data Engineer,130000,USD,FT,130000,US,0,US,M
2023,MI,Data Analyst,105380,USD,FT,105380,US,0,US,M
2023,MI,Data Analyst,64500,USD,FT,64500,US,0,US,M
2023,EN,Data Quality Analyst,100000,USD,FT,100000,NG,100,NG,L
2023,EN,Compliance Data Analyst,30000,USD,FT,30000,NG,100,NG,L
2022,MI,Machine Learning Engineer,1650000,INR,FT,20984,IN,50,IN,L
2023,EN,Applied Scientist,204620,USD,FT,204620,US,0,US,L
2023,EN,Applied Scientist,110680,USD,FT,110680,US,0,US,L
2023,SE,Data Engineer,270703,USD,FT,270703,US,0,US,M
2023,SE,Data Engineer,221484,USD,FT,221484,US,0,US,M
2023,SE,Data Scientist,212750,USD,FT,212750,US,100,US,M
2023,SE,Data Scientist,185000,USD,FT,185000,US,100,US,M
2023,SE,Data Scientist,262000,USD,FT,262000,US,100,US,M
2023,SE,Data Scientist,245000,USD,FT,245000,US,100,US,M
2023,SE,Data Scientist,275300,USD,FT,275300,US,100,US,M
